,urls,address,m2,rooms,toilets,prices,latitude,longitude
339,https://www.portalinmobiliario.com/MLC-538118446-el-sauce-huechuraba-chile-_JM#position=26&type=item&tracking_id=fa6f677d-f61a-41ce-abe4-d4399ebebd33," El Sauce, Huechuraba, Chile, Huechuraba ",58,2,2,500000,-33.3615987,-70.6689014
343,https://www.portalinmobiliario.com/arriendo/departamento/las-condes-metropolitana/5712079-avenida-presidente-riesco-2993-uda#position=31&type=item&tracking_id=fa6f677d-f61a-41ce-abe4-d4399ebebd33," Avenida Presidente Riesco 2993, Las Condes ",58,1,1,450000,-33.412533749999994,-70.59917005006534
345,https://www.portalinmobiliario.com/MLC-538711736-monsenor-escriva-de-balaguer-9411-vitacura-chile-_JM#position=34&type=item&tracking_id=fa6f677d-f61a-41ce-abe4-d4399ebebd33," Monseñor Escrivá De Balaguer 9411, Vitacura, Chile, Vitacura ",140,4,4,1150000,-33.3712406,-70.5185396
349,https://www.portalinmobiliario.com/arriendo/departamento/vina-del-mar-valparaiso/5648840-villa-dulce-uda#position=39&type=item&tracking_id=fa6f677d-f61a-41ce-abe4-d4399ebebd33," Villa Dulce, Viña Del Mar ",47,3,1,300000,-33.0326175,-71.5070291
351,https://www.portalinmobiliario.com/arriendo/departamento/santiago-metropolitana/5716072-moneda-uda#position=41&type=item&tracking_id=fa6f677d-f61a-41ce-abe4-d4399ebebd33," Moneda, Santiago ",28,1,1,235000,-33.4449058,-70.654855
352,https://www.portalinmobiliario.com/arriendo/departamento/nunoa-metropolitana/5571524-tegualda-sucre-uda#position=42&type=item&tracking_id=fa6f677d-f61a-41ce-abe4-d4399ebebd33," Tegualda / Sucre, Ñuñoa ",40,1,1,395000,-33.4517802,-70.6221624
353,https://www.portalinmobiliario.com/MLC-540049406-san-pablo-1391-santiago-chile-_JM#position=43&type=item&tracking_id=fa6f677d-f61a-41ce-abe4-d4399ebebd33," San Pablo 1391, Santiago, Chile, Santiago ",64,2,1,350000,-33.4345508,-70.6601982
354,https://www.portalinmobiliario.com/MLC-539523125-monjitas-744-santiago-chile-_JM#position=45&type=item&tracking_id=fa6f677d-f61a-41ce-abe4-d4399ebebd33," Monjitas 744, Santiago, Chile, Santiago ",35,1,1,310000,-33.43708110869565,-70.64778220000001
356,https://www.portalinmobiliario.com/arriendo/departamento/vitacura-metropolitana/5495518-las-tranqueras-uda#position=47&type=item&tracking_id=fa6f677d-f61a-41ce-abe4-d4399ebebd33," Las Tranqueras, Vitacura ",60,2,2,480000,-33.389748,-70.5531468
357,https://www.portalinmobiliario.com/MLC-539188610-avenida-ricardo-lyon-2256-providencia-chile-_JM#position=48&type=item&tracking_id=fa6f677d-f61a-41ce-abe4-d4399ebebd33," Avenida Ricardo Lyon 2256, Providencia, Chile, Providencia ",80,2,3,585000,-33.44151263513513,-70.60295212702702
358,https://www.portalinmobiliario.com/MLC-540672988-vicuna-mackenna-7735-la-florida-chile-_JM#position=49&type=item&tracking_id=fa6f677d-f61a-41ce-abe4-d4399ebebd33," Vicuña Mackenna 7735, La Florida, Chile, La Florida ",38,1,1,330000,-33.5204181,-70.6006178
363,https://www.portalinmobiliario.com/arriendo/departamento/las-condes-metropolitana/5510544-avenida-las-condes-uda#position=6&type=item&tracking_id=9eaf2bd6-6048-4b79-af68-9405f2d940aa," Avenida Las Condes, Las Condes ",70,2,2,690000,-33.3862735,-70.5377511
367,https://www.portalinmobiliario.com/arriendo/departamento/nunoa-metropolitana/5546261-emilio-vaisse-uda#position=10&type=item&tracking_id=9eaf2bd6-6048-4b79-af68-9405f2d940aa," Emilio Vaisse, Ñuñoa ",60,2,2,500000,-33.4522314,-70.6257306
368,https://www.portalinmobiliario.com/arriendo/departamento/san-miguel-metropolitana/5739319-carmen-mena-1050-uda#position=11&type=item&tracking_id=9eaf2bd6-6048-4b79-af68-9405f2d940aa," Carmen Mena 1050, San Miguel ",38,2,1,350000,-33.50652002903226,-70.65465036129032
369,https://www.portalinmobiliario.com/MLC-539505925-suecia-1524-providencia-chile-_JM#position=14&type=item&tracking_id=9eaf2bd6-6048-4b79-af68-9405f2d940aa," Suecia 1524, Providencia, Chile, Providencia ",100,3,3,615000,-33.43412691428571,-70.60323214693878
370,https://www.portalinmobiliario.com/MLC-538888830-carmen-433-santiago-chile-_JM#position=15&type=item&tracking_id=9eaf2bd6-6048-4b79-af68-9405f2d940aa," Carmen 433, Santiago, Chile, Santiago ",38,1,1,350000,-33.449257046341465,-70.6419124902439
371,https://www.portalinmobiliario.com/arriendo/departamento/estacion-central-metropolitana/5492992-cuadro-verde-uda#position=16&type=item&tracking_id=9eaf2bd6-6048-4b79-af68-9405f2d940aa," Cuadro Verde, Estación Central ",48,2,2,370000,-33.4662428,-70.7234161
372,https://www.portalinmobiliario.com/MLC-540699639-macul-chile-_JM#position=17&type=item&tracking_id=9eaf2bd6-6048-4b79-af68-9405f2d940aa," Macul, Chile, Macul ",61,3,2,450000,-33.4821635,-70.5991929
